ApplNo,ProductNo,ExclusivityCode,ExclusivityEndDate,Notes,FileDate
211150,001,ODE-489,2031-06-21,,
211150,002,NPP,2027-06-21,,
211150,002,ODE-255,2026-08-14,,
211150,002,ODE-331,2027-10-13,,
211150,002,ODE-489,2031-06-21,,
211155,001,ODE-208,2025-09-24,,
211155,002,ODE-208,2025-09-24,,
211172,001,ODE-212,2025-10-05,,
211192,001,I-893,2025-05-25,,
211192,001,I-924,2026-10-24,,
211192,001,ODE-203,2025-07-20,,
211192,001,ODE-242,2026-05-02,,
211192,001,ODE-368,2028-08-25,,
211192,001,ODE-447,2030-10-24,,
211199,001,PC,2025-11-02,,
211199,002,PC,2025-11-02,,
211199,003,PC,2025-11-02,,
211199,004,PC,2025-11-02,,
211230,001,ODE-254,2026-06-17,,
211230,002,ODE-254,2026-06-17,,
211243,001,I-959,2028-01-17,,
211280,001,NCE,2025-01-31,,
211280,002,NCE,2025-01-31,,
211280,003,NCE,2025-01-31,,
211281,001,NCE,2025-02-12,,
211288,001,ODE-206,2025-09-27,,
211288,001,ODE-213,2025-09-27,,
211288,002,ODE-206,2025-09-27,,
211288,002,ODE-213,2025-09-27,,
211288,003,ODE-206,2025-09-27,,
211288,003,ODE-213,2025-09-27,,
211321,001,ODE-243,2026-05-17,,
211349,001,ODE-222,2025-11-28,,
211358,001,M-14,2027-12-13,,
211358,001,NPP,2025-09-02,,
211358,001,ODE-195,2025-08-07,,
211358,001,ODE-408,2029-09-02,,
211358,002,M-14,2027-12-13,,
211358,002,NPP,2025-09-02,,
211358,002,ODE-195,2025-08-07,,
211358,002,ODE-408,2029-09-02,,
211358,003,M-14,2027-12-13,,
211358,003,NS,2025-09-02,,
211358,003,ODE-408,2029-09-02,,
211371,001,NPP,2025-06-16,,
211379,001,ODE-271,2026-10-03,,
211580,001,I-911,2026-06-05,,
211616,001,I-943,2027-03-22,,
211616,001,I-944,2027-03-22,,
211616,001,NCE,2025-02-21,,
211617,001,I-943,2027-03-22,,
211617,001,I-945,2027-03-22,,
211617,001,NCE,2025-02-21,,
211635,001,NPP,2028-04-15,,
211635,001,ODE-279,2027-01-10,,
211635,002,NPP,2028-04-15,,
211635,002,ODE-279,2027-01-10,,
211635,003,NPP,2028-04-15,,
211635,003,ODE-279,2027-01-10,,
211651,001,I-920,2026-06-20,,
211651,003,I-920,2026-06-20,,
211651,005,I-920,2026-06-20,,
211672,001,NCE,2024-08-19,,
211673,001,NCE,2024-08-19,,
211675,001,I-883,2025-01-14,,
211675,001,I-886,2025-03-16,,
211675,001,I-888,2025-04-29,,
211675,001,I-919,2026-05-18,,
211675,001,I-946,2027-04-26,,
211675,001,I-966,2028-04-28,,
211675,001,NPP,2027-04-26,,
211675,001,ODE-481,2031-04-26,,
211675,002,I-883,2025-01-14,,
211675,002,I-886,2025-03-16,,
211675,002,I-919,2026-05-18,,
211675,002,I-946,2027-04-26,,
211675,002,NPP,2027-04-26,,
211675,002,ODE-481,2031-04-26,,
211675,003,I-886,2025-03-16,,
211675,003,I-919,2026-05-18,,
211675,003,I-946,2027-04-26,,
211675,003,NPP,2027-04-26,,
211675,003,ODE-481,2031-04-26,,
211710,001,ODE-215,2025-11-26,,
211710,001,ODE-220,2025-11-26,,
211710,001,ODE-221,2025-11-26,,
211723,001,NCE,2025-01-23,,
211723,001,ODE-299,2027-01-23,,
211723,001,ODE-314,2027-06-18,,
211728,001,ODE-289,2027-04-15,,
211746,001,NP,2025-01-13,,
211810,001,ODE-250,2026-08-02,,
211810,002,ODE*,2026-08-02,,
211843,001,ODE*,2026-06-28,,
211843,002,ODE*,2026-06-28,,
211964,001,NCE,2026-04-02,,
211964,001,NPP,2025-04-29,,
211964,002,NCE,2026-04-02,,
211964,002,NPP,2025-04-29,,
211964,003,NCE,2026-04-02,,
211964,003,NPP,2025-04-29,,
211970,001,ODE-280,2026-12-12,,
211975,003,CGT,2025-04-22,,
211988,001,I-933,2027-01-23,,
211988,002,I-933,2027-01-23,,
211988,003,I-933,2027-01-23,,
211988,004,I-933,2027-01-23,,
211994,001,NPP,2027-04-05,,
211996,001,ODE-237,2026-05-03,,
212018,001,I-930,2027-01-19,,
212018,002,I-930,2027-01-19,,
212018,003,I-930,2027-01-19,,
212028,001,M-293,2026-04-20,,
212028,001,NCE,2025-04-07,,
212028,002,M-293,2026-04-20,,
212028,002,NCE,2025-04-07,,
212099,001,I-900,2025-08-05,,
212102,001,I-887,2025-03-25,,
212102,001,ODE-312,2027-06-25,,
212102,001,ODE-393,2029-03-25,,
212123,001,NCE,2025-05-28,,
212123,002,NCE,2025-05-28,,
212154,001,NCE,2025-08-12,,
212154,001,ODE-280,2027-08-12,,
212155,001,NCE,2025-05-20,,
212161,001,ODE-237,2026-05-03,,
212194,001,ODE-273,2026-11-20,,
212269,001,ODE-417,2028-04-30,,
212269,001,ODE-420,2028-04-30,,
212269,001,ODE-421,2028-04-30,,
212273,001,M-313,2027-12-20,,
212273,001,ODE-275,2026-10-21,,
212273,001,ODE-323,2027-12-21,,
212273,001,ODE-357,2028-06-08,,
212273,001,ODE-512,2031-12-20,,
212273,002,M-313,2027-12-20,,
212273,002,ODE*,2026-10-21,,
212273,002,ODE*,2027-12-21,,
212273,002,ODE-357,2028-06-08,,
212273,002,ODE-512,2031-12-20,,
212295,001,NCE,2025-10-06,,
212304,001,NP,2025-03-11,,
212304,002,NP,2025-03-11,,
212306,001,ODE-257,2026-07-03,,
212306,001,ODE-310,2027-06-22,,
212306,001,ODE-346,2027-12-18,,
212306,002,ODE*,2027-06-22,,
212306,002,ODE*,2027-12-18,,
212306,002,ODE*,2026-07-03,,
212306,003,ODE*,2027-12-18,,
212306,003,ODE*,2026-07-03,,
212306,003,ODE*,2027-06-22,,
212306,004,ODE*,2026-07-03,,
212306,004,ODE*,2027-06-22,,
212306,004,ODE*,2027-12-18,,
212306,005,ODE*,2027-06-22,,
212306,005,ODE*,2026-07-03,,
212306,005,ODE*,2027-12-18,,
212327,001,ODE-259,2026-08-16,,
212480,001,ODE-258,2026-08-28,,
212480,002,ODE-258,2026-08-28,,
212489,001,NCE,2025-04-24,,
212489,002,NCE,2025-04-24,,
212526,001,I-937,2027-01-18,,
212526,002,I-937,2027-01-18,,
212526,003,I-937,2027-01-18,,
212576,001,NCE,2025-07-07,,
212576,001,ODE-316,2027-07-07,,
212608,001,NCE,2025-01-09,,
212608,001,ODE-356,2028-06-16,,
212608,001,ODE-366,2027-01-09,,
212608,001,ODE-434,2030-05-22,,
212608,002,NCE,2025-01-09,,
212608,002,ODE-356,2028-06-16,,
212608,002,ODE-366,2027-01-09,,
212608,002,ODE-434,2030-05-22,,
212608,003,NCE,2025-01-09,,
212608,003,ODE-356,2028-06-16,,
212608,003,ODE-366,2027-01-09,,
212608,003,ODE-434,2030-05-22,,
212608,004,I-912,2026-05-22,,
212608,004,NCE,2025-01-09,,
212608,004,ODE-356,2028-06-16,,
212608,004,ODE-366,2027-01-09,,
212608,004,ODE-434,2030-05-22,,
212608,005,NCE,2025-01-09,,
212608,005,ODE-356,2028-06-16,,
212608,005,ODE-366,2027-01-09,,
212608,005,ODE-434,2030-05-22,,
212642,001,NCE,2025-12-01,,
212642,001,W,2025-12-01,,
212643,001,NCE,2025-12-01,,
212643,001,W,2025-12-01,,
212690,001,ODE-361,2027-07-21,,
212690,001,ODE-369,2028-08-12,,
212725,001,NPP,2026-10-20,,
212725,001,ODE-265,2026-08-15,,
212725,001,ODE-313,2026-08-15,,
212725,001,ODE-448,2030-10-20,,
212725,002,NPP,2026-10-20,,
212725,002,ODE-265,2026-08-15,,
212725,002,ODE-313,2026-08-15,,
212725,002,ODE-448,2030-10-20,,
212728,001,NCE,2025-02-27,,
212801,001,NCE,2025-03-06,,
212801,001,ODE-286,2027-03-06,,
212801,002,NCE,2025-03-06,,
212801,002,ODE-286,2027-03-06,,
212801,003,NCE,2025-03-06,,
212801,003,ODE-286,2027-03-06,,
212819,001,NCE,2024-07-16,,
212839,001,NCE,2025-03-10,,
212839,002,NCE,2025-03-10,,
212839,003,NCE,2025-03-10,,
212839,004,NCE,2025-03-10,,
212839,005,NCE,2025-03-10,,
212839,006,NCE,2025-03-10,,
212862,001,NCE,2024-08-14,,
212862,001,ODE-253,2026-08-14,,
212887,001,M-273,2025-01-31,,
212887,001,NCE,2026-01-21,,
212887,001,NPP,2025-03-29,,
212888,001,D-184,2025-01-31,,
212888,001,NCE,2026-01-21,,
212888,001,NPP,2025-03-29,,
212888,002,D-184,2025-01-31,,
212888,002,NCE,2026-01-21,,
212888,002,NPP,2025-03-29,,
212904,001,NCE,2026-03-10,,
212904,002,NCE,2026-03-10,,
212905,001,NCE,2028-07-21,,
212937,001,NP,2025-09-20,,
212937,001,ODE-384,2029-09-20,,
212950,001,NCE,2025-07-02,,
212994,001,NCE,2026-05-07,,
212994,002,NCE,2026-05-07,,
212994,003,NCE,2026-05-07,,
213004,001,NP,2022-11-01,,
213005,001,NP,2028-05-23,,
213005,002,NP,2028-05-23,,
213005,003,NP,2028-05-23,,
213005,004,NP,2028-05-23,,
213006,001,I-955,2027-12-18,,
213006,001,NCE,2025-12-23,,
213026,001,NCE,2026-02-25,,
213026,001,ODE-347,2028-02-25,,
213036,001,NCE,2025-05-26,,
213036,001,ODE-290,2027-05-26,,
213082,001,M-14,2028-02-21,,
213116,001,CGT,2025-07-01,,
213137,001,ODE-281,2026-11-25,,
213137,001,ODE-394,2028-12-17,,
213137,002,ODE-394,2028-12-17,,
213138,001,ODE-367,2027-01-24,,
213176,001,NCE,2026-02-05,,
213189,001,D-192,2027-06-07,,
213189,001,NCE,2025-12-14,,
213217,001,I-817,2026-01-19,,
213217,001,I-936,2027-03-07,,
213217,001,ODE-274,2030-01-19,,
213217,001,ODE-276,2026-11-14,,
213217,001,ODE-370,2028-09-14,,
213217,001,ODE-371,2028-08-31,,
213217,001,ODE-467,2031-03-07,,
213227,001,NCE,2025-09-03,,
213227,001,ODE-317,2027-09-03,,
213246,001,M-311,2027-09-27,,
213246,001,M-312,2027-09-27,,
213246,001,NCE,2025-05-08,,
213246,001,NPP,2027-05-29,,
213246,001,ODE-301,2027-05-08,,
213246,001,ODE-302,2027-05-08,,
213246,001,ODE-303,2027-05-08,,
213246,001,ODE-409,2029-09-21,,
213246,001,ODE-412,2029-09-21,,
213246,001,ODE-484,2031-05-29,,
213246,001,ODE-485,2031-05-29,,
213246,001,ODE-487,2031-05-29,,
213246,002,M-311,2027-09-27,,
213246,002,M-312,2027-09-27,,
213246,002,NCE,2025-05-08,,
213246,002,NPP,2027-05-29,,
213246,002,ODE-301,2027-05-08,,
213246,002,ODE-302,2027-05-08,,
213246,002,ODE-303,2027-05-08,,
213246,002,ODE-409,2029-09-21,,
213246,002,ODE-412,2029-09-21,,
213246,002,ODE-484,2031-05-29,,
213246,002,ODE-485,2031-05-29,,
213246,002,ODE-487,2031-05-29,,
213312,001,ODE-386,2028-11-22,,
213378,001,NCE,2026-05-28,,
213378,002,NCE,2026-05-28,,
213378,003,NCE,2026-05-28,,
213378,004,NCE,2026-05-28,,
213411,001,I-906,2026-01-19,,
213411,001,NCE,2025-04-17,,
213411,001,ODE-309,2027-04-17,,
213411,001,ODE-422,2030-01-19,,
213411,002,I-906,2026-01-19,,
213411,002,NCE,2025-04-17,,
213411,002,ODE-309,2027-04-17,,
213411,002,ODE-422,2030-01-19,,
213433,001,NCE,2025-08-26,,
213464,001,NCE,2025-08-06,,
213464,001,ODE-319,2027-08-06,,
213464,002,NCE,2025-08-06,,
213464,002,ODE-319,2027-08-06,,
213478,001,NP,2025-03-22,,
213478,001,ODE-391,2029-03-22,,
213491,001,ODE*,2024-12-22,,
213491,002,ODE*,2024-12-22,,
213498,001,NCE,2026-03-18,,
213498,002,NCE,2026-03-18,,
213498,003,NCE,2026-03-18,,
213498,004,NCE,2026-03-18,,
213498,005,NCE,2026-03-18,,
213498,006,NCE,2026-03-18,,
213498,007,NCE,2026-03-18,,
213498,008,NCE,2026-03-18,,
213498,009,NCE,2026-03-18,,
213498,010,NCE,2026-03-18,,
213535,001,M-270,2026-10-03,,
213535,001,NCE,2025-08-07,,
213535,001,NPP,2025-05-27,,
213535,001,ODE-334,2027-08-07,,
213535,001,ODE-400,2029-05-27,,
213586,001,NP,2026-04-28,,
213586,002,NP,2026-04-28,,
213586,003,NP,2026-04-28,,
213586,004,NP,2026-04-28,,
213586,005,NP,2026-04-28,,
213586,006,NP,2026-04-28,,
213586,007,NP,2026-04-28,,
213591,001,NCE,2025-05-06,,
213591,001,ODE-291,2027-05-06,,
213591,002,NCE,2025-05-06,,
213591,002,ODE-291,2027-05-06,,
213674,001,I-926,2026-11-17,,
213674,002,I-926,2026-11-17,,
213687,001,NCE,2025-06-30,,
213687,001,ODE-311,2027-06-30,,
213702,001,NCE,2025-06-15,,
213702,001,ODE-304,2027-06-15,,
213708,001,PC,2025-06-03,,
213716,001,NCE,2026-01-22,,
213721,001,NCE,2025-09-04,,
213721,001,ODE-318,2027-09-04,,
213721,001,ODE-340,2027-12-01,,
213721,001,ODE-341,2027-12-01,,
213736,001,I-899,2025-08-26,,
213736,001,NCE,2025-04-17,,
213736,001,ODE-292,2027-04-17,,
213736,001,ODE-404,2029-08-26,,
213736,002,I-899,2025-08-26,,
213736,002,NCE,2025-04-17,,
213736,002,ODE-292,2027-04-17,,
213736,002,ODE-404,2029-08-26,,
213736,003,I-899,2025-08-26,,
213736,003,NCE,2025-04-17,,
213736,003,ODE-292,2027-04-17,,
213736,003,ODE-404,2029-08-26,,
213756,001,NCE,2025-04-10,,
213756,001,ODE-288,2027-04-10,,
213756,002,NCE,2025-04-10,,
213756,002,ODE-288,2027-04-10,,
213793,001,I-892,2025-06-16,,
213793,001,NCE,2025-11-25,,
213793,001,NPP,2027-12-20,,
213793,001,ODE-336,2027-11-25,,
213793,001,ODE-402,2029-06-16,,
213793,001,ODE-508,2031-12-20,,
213793,001,ODE-509,2031-12-20,,
213871,001,NCE,2027-01-14,,
213871,001,NPP,2026-02-09,,
213871,002,NCE,2027-01-14,,
213871,002,NPP,2026-02-09,,
213871,003,NCE,2027-01-14,,
213871,003,NPP,2026-02-09,,
213931,001,NP,2026-10-17,,
213931,002,NP,2026-10-17,,
213931,003,NP,2026-10-17,,
213953,001,NP,2025-07-27,,
213953,002,NP,2025-07-27,,
213953,003,NP,2025-07-27,,
213969,001,NCE,2025-11-20,,
213969,001,ODE-324,2027-11-20,,
213969,002,NCE,2025-11-20,,
213969,002,ODE-324,2027-11-20,,
213972,001,NCE,2029-10-25,,
213973,001,NCE,2025-05-15,,
213973,001,ODE-298,2027-05-15,,
213976,001,NP,2027-02-09,,
213976,001,ODE-466,2031-02-09,,
214012,001,NCE,2026-12-22,,
214018,001,M-286,2025-10-27,,
214018,001,NCE,2026-02-26,,
214018,001,ODE-342,2028-02-26,,
214028,001,D-187,2026-03-28,,
214050,001,CGT,2025-03-25,,
214051,001,PC,2025-01-11,,
214051,002,PC,2025-01-11,,
214056,001,NP,2028-02-03,,
214070,001,NP,2026-01-10,,
214094,001,NCE,2025-12-03,,
214094,001,ODE-333,2027-12-03,,
214094,002,NCE,2025-12-03,,
214094,002,ODE-333,2027-12-03,,
214096,001,NCE,2026-02-03,,
214096,001,ODE-325,2028-02-03,,
214103,001,I-901,2025-10-06,,
214103,001,NCE,2025-11-23,,
214103,001,ODE-339,2027-11-23,,
214103,001,ODE-415,2029-10-06,,
214120,001,ODE-320,2027-09-01,,
214120,002,ODE-320,2027-09-01,,
214133,001,NCE*,2026-12-30,,
214133,001,ODE-385,2028-12-30,,
214154,001,NCE,2026-04-15,,
214187,001,M-277,2025-04-27,,
214187,001,ODE-376,2028-06-10,,
214187,002,M-277,2025-04-27,,
214187,002,ODE*,2027-03-19,,
214200,001,NCE,2026-02-12,,
214231,001,NCE,2026-03-22,,
214231,002,NCE,2026-03-22,,
214324,001,NP,2025-05-23,,
214324,002,NP,2025-05-23,,
214324,003,NP,2025-05-23,,
214324,004,NP,2025-05-23,,
214331,002,PC,2026-01-07,,
214373,001,NCE,2028-01-20,,
214375,001,NCE,2027-12-23,,
214377,001,NCE,2026-01-19,,
214377,002,NCE,2026-01-19,,
214377,003,NCE,2026-01-19,,
214410,001,M-187,2027-12-19,,
214429,001,NCE,2026-07-16,,
214429,001,ODE-359,2028-07-16,,
214445,001,PC,2025-07-14,,
214460,001,ODE-354,2028-06-04,,
214461,001,ODE-354,2028-06-04,,
214487,001,NCE,2026-10-07,,
214487,001,ODE-377,2028-10-07,,
214510,001,NP,2025-04-22,,
214511,001,NCE,2029-04-17,,
214517,001,ODE-329,2027-12-01,,
214520,001,NCE,2028-11-15,,
214520,002,NCE,2028-11-15,,
214621,001,NCE,2025-12-18,,
214622,001,NCE,2026-05-28,,
214622,001,ODE-353,2028-05-28,,
214622,002,NCE,2026-05-28,,
214622,002,ODE-353,2028-05-28,,
214662,001,I-938,2027-03-13,,
214662,001,NCE,2026-09-29,,
214662,001,NPP,2026-03-13,,
214662,001,ODE-379,2028-09-29,,
214662,001,ODE-429,2030-03-13,,
214662,001,ODE-471,2031-03-13,,
214662,002,NCE,2026-09-29,,
214662,002,ODE*,2030-03-13,,
214662,002,ODE*,2031-03-13,,
214662,002,ODE*,2028-09-29,,
214662,002,ODE-490,2031-07-24,,
214665,001,I-962,2028-01-16,,
214665,001,NCE,2026-05-28,,
214665,001,ODE-352,2028-05-28,,
214665,001,ODE-507,2032-01-16,,
214665,002,I-962,2028-01-16,,
214665,002,NCE,2026-05-28,,
214665,002,ODE-352,2028-05-28,,
214665,002,ODE-507,2032-01-16,,
214665,003,I-962,2028-01-16,,
214665,003,NCE,2026-05-28,,
214665,003,ODE*,2028-05-28,,
214665,003,ODE-507,2032-01-16,,
214755,001,NP,2026-05-01,,
214755,001,ODE-431,2030-05-01,,
214755,001,ODE-494,2031-10-16,,
214755,002,NP,2026-05-01,,
214755,002,ODE-431,2030-05-01,,
214755,002,ODE-494,2031-10-16,,
214755,003,NP,2026-05-01,,
214755,003,ODE-431,2030-05-01,,
214755,003,ODE-494,2031-10-16,,
214755,004,NP,2026-05-01,,
214755,004,ODE-431,2030-05-01,,
214755,004,ODE-494,2031-10-16,,
214759,001,NCE,2030-01-21,,
214759,001,ODE-513,2032-01-21,,
214759,001,ODE-514,2032-01-21,,
214759,002,NCE,2030-01-21,,
214759,002,ODE-513,2032-01-21,,
214759,002,ODE-514,2032-01-21,,
214783,001,NCE,2026-07-16,,
214783,001,ODE-362,2028-07-16,,
214787,001,D-183,2025-01-21,,
214787,001,M-301,2026-07-13,,
214787,001,NCE,2025-10-22,,
214787,001,NPP,2025-04-25,,
214787,002,D-183,2025-01-21,,
214787,002,M-301,2026-07-13,,
214787,002,NCE,2025-10-22,,
214787,002,NPP,2025-04-25,,
214793,001,NCE,2026-05-26,,
214801,001,NCE,2027-09-30,,
214801,001,ODE-410,2029-09-30,,
214835,001,NP,2027-03-29,,
214835,002,NP,2027-03-29,,
214846,001,I-898,2025-08-05,,
214846,001,M-289,2026-01-27,,
214846,001,NCE,2025-12-18,,
214900,001,I-903,2025-11-30,,
214900,001,NCE,2026-06-01,,
214907,001,I-905,2025-12-16,,
214907,001,NCE,2026-11-29,,
214907,001,ODE-390,2028-11-29,,
214916,001,NCE,2026-08-23,,
214927,001,NCE,2029-09-20,,
214927,001,ODE-496,2031-09-20,,
214927,002,NCE,2029-09-20,,
214927,002,ODE-496,2031-09-20,,
214927,003,NCE,2029-09-20,,
214927,003,ODE-496,2031-09-20,,
214927,004,NCE,2029-09-20,,
214927,004,ODE-496,2031-09-20,,
214938,001,NCE,2026-11-19,,
214938,001,NPP,2026-10-20,,
214938,001,ODE-387,2028-11-19,,
214938,001,ODE-449,2030-10-20,,
214938,002,NCE,2026-11-19,,
214938,002,NPP,2026-10-20,,
214938,002,ODE-387,2028-11-19,,
214938,002,ODE-449,2030-10-20,,
214938,003,NCE,2026-11-19,,
214938,003,NPP,2026-10-20,,
214938,003,ODE-387,2028-11-19,,
214938,003,ODE-449,2030-10-20,,
214958,001,NCE,2027-09-09,,
214965,001,ODE-358,2028-06-23,,
214966,001,CGT,2025-09-06,,
214985,001,M-200,2027-09-30,,
214985,001,M-310,2027-09-30,,
214985,002,M-200,2027-09-30,,
214985,002,M-310,2027-09-30,,
214998,001,M-297,2026-06-15,,
214998,001,NCE,2027-04-28,,
214998,001,ODE-398,2029-04-28,,
214998,002,M-297,2026-06-15,,
214998,002,NCE,2027-04-28,,
214998,002,ODE-398,2029-04-28,,
214998,003,M-297,2026-06-15,,
214998,003,NCE,2027-04-28,,
214998,003,ODE-398,2029-04-28,,
214998,004,M-297,2026-06-15,,
214998,004,NCE,2027-04-28,,
214998,004,ODE-398,2029-04-28,,
215014,001,M-288,2026-02-08,,
215014,001,NCE,2026-05-14,,
215014,001,ODE-351,2028-05-14,,
215039,001,ODE-396,2029-04-05,,
215039,002,ODE-396,2029-04-05,,
215039,003,ODE-396,2029-04-05,,
215040,001,NP,2027-02-13,,
215040,002,NP,2027-02-13,,
215064,001,NCE,2028-12-18,,
215064,001,ODE-460,2030-12-18,,
215092,001,NCE,2027-09-22,,
215110,001,I-967,2028-06-10,,
215110,001,ODE-372,2028-06-10,,
215151,001,I-948,2027-07-17,,
215151,001,NCE,2027-05-03,,
215151,001,NP,2026-11-01,,
215151,002,NCE,2027-05-03,,
215151,002,NP,2026-11-01,,
215152,001,NCE,2027-05-03,,
215153,001,NCE,2027-05-03,,
215168,001,NCE,2029-09-27,,
215192,001,NCE,2029-03-27,,
215192,002,NCE,2029-03-27,,
215192,003,NCE,2029-03-27,,
215206,001,I-909,2026-04-17,,
215206,001,NCE,2026-09-28,,
215206,002,I-909,2026-04-17,,
215206,002,NCE,2026-09-28,,
215206,003,I-909,2026-04-17,,
215206,003,NCE,2026-09-28,,
215211,001,NP,2026-09-28,,
215239,001,NCE,2028-10-26,,
215239,001,ODE-450,2030-10-26,,
215256,001,I-935,2027-03-08,,
215256,001,NPP,2025-12-23,,
215256,002,I-935,2027-03-08,,
215256,002,NPP,2025-12-23,,
215256,003,I-935,2027-03-08,,
215256,003,NPP,2025-12-23,,
215256,004,D-190,2026-07-21,,
215256,004,I-935,2027-03-08,,
215256,004,NPP,2025-12-23,,
215256,005,I-935,2027-03-08,,
215256,005,NPP,2025-12-23,,
215272,001,I-956,2027-12-12,,
215272,001,NCE,2027-05-23,,
215309,001,I-896,2025-07-18,,
215309,001,NP,2024-09-21,,
215310,001,NCE,2026-09-15,,
215310,001,ODE-374,2028-09-15,,
215312,001,CGT,2025-03-26,,
215320,001,NP,2026-10-17,,
215341,001,I-970,2028-07-11,,
215341,001,M-279,2025-09-01,,
215341,001,NCE,2026-07-09,,
215341,002,I-970,2028-07-11,,
215341,002,M-279,2025-09-01,,
215341,002,NCE,2026-07-09,,
215341,003,NCE,2026-07-09,,
215341,003,NS,2028-07-11,,
215344,001,NP,2026-06-15,,
215352,001,NP,2026-05-05,,
215358,001,I-953,2027-10-29,,
215358,001,I-954,2027-10-29,,
215358,001,NCE,2026-10-29,,
215358,001,ODE-381,2028-10-29,,
215358,001,ODE-382,2028-10-29,,
215358,001,ODE-499,2031-10-29,,
215358,001,ODE-500,2031-10-29,,
215358,002,I-953,2027-10-29,,
215358,002,I-954,2027-10-29,,
215358,002,NCE,2026-10-29,,
215358,002,ODE-381,2028-10-29,,
215358,002,ODE-382,2028-10-29,,
215358,002,ODE-499,2031-10-29,,
215358,002,ODE-500,2031-10-29,,
215358,003,NCE,2026-10-29,,
215358,003,ODE*,2028-10-29,,
215383,001,I-931,2026-12-14,,
215383,001,I-968,2028-05-14,,
215383,001,NCE,2026-08-13,,
215383,001,ODE-364,2028-08-13,,
215390,001,NP,2025-04-05,,
215390,002,NP,2025-04-05,,
215401,001,NP,2025-03-22,,
215401,002,NP,2025-03-22,,
215401,003,NP,2025-03-22,,
215401,004,NP,2025-03-22,,
215413,001,NPP,2026-06-15,,
215430,001,NP,2025-08-18,,
215431,001,NP,2028-01-30,,
215446,001,NP,2025-05-12,,
215446,001,ODE-144,2029-05-12,,
215487,001,NP,2027-04-19,,
215488,001,CGT,2025-06-10,,
215498,001,I-918,2026-06-13,,
215498,001,NCE,2026-07-20,,
215498,001,ODE-363,2028-07-20,,
215498,001,ODE-436,2030-06-13,,
215498,002,I-918,2026-06-13,,
215498,002,NCE,2026-07-20,,
215498,002,ODE-363,2028-07-20,,
215498,002,ODE-436,2030-06-13,,
215498,003,I-918,2026-06-13,,
215498,003,NCE,2026-07-20,,
215498,003,ODE-363,2028-07-20,,
215498,003,ODE-436,2030-06-13,,
215498,004,I-918,2026-06-13,,
215498,004,NCE,2026-07-20,,
215498,004,ODE-363,2028-07-20,,
215498,004,ODE-436,2030-06-13,,
215499,001,NCE,2026-01-21,,
215500,001,NP,2026-12-13,,
215500,001,ODE-462,2030-12-13,,
215515,001,I-964,2028-03-20,,
215515,001,NCE,2027-06-13,,
215515,001,ODE-212,2029-06-13,,
215559,001,NCE,2028-08-16,,
215559,001,ODE-439,2030-08-16,,
215559,002,NCE,2028-08-16,,
215559,002,ODE-439,2030-08-16,,
215559,003,NCE,2028-08-16,,
215559,003,ODE-439,2030-08-16,,
215559,004,NCE,2028-08-16,,
215559,004,ODE-439,2030-08-16,,
215559,005,NCE,2028-08-16,,
215559,005,ODE-439,2030-08-16,,
215592,001,CGT,2025-05-21,,
215592,002,CGT,2025-05-21,,
215596,001,NCE,2026-11-23,,
215596,001,ODE-388,2028-11-23,,
215650,001,NP,2024-12-07,,
215760,001,NP,2025-04-28,,
215760,001,ODE-401,2029-04-28,,
215793,001,NP,2028-06-12,,
215814,001,NCE,2027-12-01,,
215814,001,ODE-413,2029-12-01,,
215830,001,NCE,2028-06-23,,
215833,001,I-965,2028-03-28,,
215833,001,NCE,2027-03-23,,
215841,001,NP,2025-03-23,,
215842,001,NCE,2028-09-29,,
215842,001,NPP,2028-03-27,,
215842,001,ODE-443,2030-09-29,,
215842,002,NCE,2028-09-29,,
215842,002,NPP,2028-03-27,,
215842,002,ODE-443,2030-09-29,,
215842,003,NCE,2028-09-29,,
215842,003,NPP,2028-03-27,,
215842,003,ODE-443,2030-09-29,,
215859,001,NP,2024-12-20,,
215866,001,NCE,2027-05-13,,
215866,002,NCE,2027-05-13,,
215866,003,NCE,2027-05-13,,
215866,004,NCE,2027-05-13,,
215866,005,NCE,2027-05-13,,
215866,006,NCE,2027-05-13,,
215866,007,NCE,2027-05-13,,
215866,008,NCE,2027-05-13,,
215866,009,NCE,2027-05-13,,
215866,010,NCE,2027-05-13,,
215866,011,NCE,2027-05-13,,
215866,012,NCE,2027-05-13,,
215887,001,NCE,2028-04-25,,
215887,001,ODE-432,2030-04-25,,
215888,001,NCE,2027-04-26,,
215904,001,NCE,2027-06-01,,
215904,001,ODE-395,2029-06-01,,
215910,001,ODE-414,2029-11-17,,
215922,002,CGT,2025-10-01,,
215935,001,ODE-389,2028-12-15,,
215935,001,ODE-464,2030-12-20,,
215973,001,NCE,2027-12-22,,
215974,001,NCE,2027-12-22,,
215985,001,NP,2025-07-29,,
215985,001,NPP,2026-10-05,,
215985,002,NS,2027-07-09,,
216016,001,NCE,2029-11-27,,
216016,002,NCE,2029-11-27,,
216016,003,NCE,2029-11-27,,
216016,004,NCE,2029-11-27,,
216016,005,NCE,2029-11-27,,
216016,006,NCE,2029-11-27,,
216016,007,NCE,2029-11-27,,
216016,008,NCE,2029-11-27,,
216016,009,NCE,2029-11-27,,
216016,010,NCE,2029-11-27,,
216016,011,NCE,2029-11-27,,
216016,012,NCE,2029-11-27,,
216016,013,NCE,2029-11-27,,
216017,001,NCE,2029-11-27,,
216017,002,NCE,2029-11-27,,
